Song_Name,Matched_Name,Ratio_Value,Song_List_Index
im not in love,im in love,83,9267
i can help,i can help,100,5276
fallin in love,fall in love,92,17679
feelings,feeling ok,78,6807
chevy van,hey ma,67,7404
when will i be loved,she will be loved,86,1906
youre the first the last my everything,youre the first the last my everything,100,2225
please mr please,please mr postman,73,2085
youre no good,youre gold,78,15460
dynomite,dynamite,88,18090
walking in rhythm,walking on a dream,69,6437
the way we weretry to remember,the way we get by,60,9777
midnight blue,midnight blue,100,3561
dont call us well call you,long tall sally,59,1980
poetry man,money man,74,17187
how long,how long gone,76,5480
express,empress,86,8299
thats the way of the world,the end of the world,74,5175
lady,lady,100,6712
bad time,hard time,82,16351
only women bleed,omen blood,62,7316
doctors orders,do or die,61,11621
get down tonight,get down saturday night,77,9239
you are so beautiful,you are so beautiful,100,410
one man womanone woman man,once and never again,52,2554
feel like makin love,feel like makin love,100,16090
how sweet it is to be loved by you,how sweet it is to be loved by you,100,6878
dance with me,dance with me,100,9476
cut the cake,cut the cord,75,14826
never can say goodbye,dont say goodbye,70,17340
i dont like to sleep alone,dont talk to me about love,65,2934
morning side of the mountain,coming down the mountain,77,4914
some kind of wonderful,some kind of drug,82,2476
when will i see you again,when i see you smile,71,622
get down get down get on the floor,sleep on the floor,58,1505
im sorry,im sorry,100,13130
killer queen,killer whales,64,13836
shoeshine boy,chattanoogie shoe shine boy,65,5018
do it til youre satisfied,do it like you do,62,9640
cant get it out of my head,cant get you out of my head,91,1946
shalala make me happy,thatll be the day,58,1967
lonely people,lonely press play,73,9494
you got the love,youve got the love,94,1959
the rockford files,the bloodiest,65,12776
it only takes a minute,it takes two,59,6884
no no song,not too soon,73,3024
juniors farm,no fear,63,13416
bungle in the jungle,welcome to the jungle,68,530
long tall glasses,long tall sally,69,1980
someone saved my life tonight,need you tonight,62,674
misty,misty,100,5295
bad blood,bad boy,75,6681
only yesterday,yesterday,78,4485
im on fire,im on fire,100,361
only you and you alone,youre not alone,65,3279
third rate romance,drunk text romance,67,15278
you aint seen nothing yet,you aint seen nothing yet,100,466
swearin to god,far too good,69,18758
get dancin,all night dancin,69,3861
silly love songs,a shitty love song,76,15253
dont go breaking my heart,dont go breaking my heart,100,2137
disco lady,scotland,67,9538
december 1963 oh what a night,december 1963 oh what a night,100,8490
play that funky music,lay it on me  acoustic,60,1479
kiss and say goodbye,dont say goodbye,72,17340
love machine,broken machine,77,18272
50 ways to leave your lover,my love is your love,64,2383
love is alive,love is alive,100,5378
a fifth of beethoven,all out of love,57,613
sara smile,ahora dile,70,16589
afternoon delight,rappers delight,69,9067
i write the songs,rewrite the stars,71,13721
fly robin fly,only lonely,58,3209
love hangover,leg over,67,1729
get closer,get louder,80,6203
more more more,one more time,74,5708
bohemian rhapsody,bohemian rhapsody  remastered 2011,67,412
misty blue,midnight blue,70,3561
boogie fever,teenage fever,64,2452
id really love to see you tonight,i really like you,60,6918
you sexy thing,you sexy thing,100,6823
love hurts,love hurts,100,10711
get up and boogie,get up and move on,74,12527
take it to the limit,take me to the top,74,9270
shake shake shake shake your booty,shake shake shake,67,18577
sweet love,this sweet love,80,8340
right back where we started from,where we start,61,9551
theme from swat,the rat,64,2546
love rollercoaster,love letter,69,14751
you should be dancing,you could be mine,74,4006
youll never find another love like mine,you never can tell,56,2081
golden years,golden skans,75,2498
moonlight feels right,light flight,73,2744
only sixteen,sixteen,74,8857
let your love flow,let your love flow,100,2185
dream weaver,dream lover,78,1983
turn the beat around,turn it around,76,14711
lonely night angel face,one night only,65,10912
all by myself,all to myself,85,11976
love to love you baby,born to love you,70,8862
deep purple,deep green,67,5802
theme from mahogany do you know where youre going to,thats what you do when youre in love,57,5359
sweet thing,sweetest thing,88,8346
thats the way i like it,thats what i like,70,11367
a little bit more,a little more,87,4715
shannon,hangin on,75,8866
if you leave me now,leave me now,77,5570
lowdown,london,77,8043
show me the way live,show me the way,86,4022
dream on,dream on,100,425
i love music,i love it,76,4272
say you love me,do you love me,83,6861
times of your life,time of our lives,86,4676
devil woman,devil woman,100,5215
fooled around and fell in love,love action i believe in love,61,2872
convoy,cowboy,67,12436
welcome back,when god comes back,71,16420
sing a song,snake song,76,16356
heaven must be missing an angel,heavens just a sin away,67,5246
ill be good to you,good for you,67,7893
rock and roll music,rock and roll all nite,73,417
shop around,shop around,100,310
saturday night,saturday night,100,8187
island girl,island,71,118
lets do it again,do it again,81,11680
let em in,let me in,89,18612
baby face,baby please,70,3553
this masquerade,this masquerade,100,16047
evil woman,devil woman,95,5215
wham bam,what a bam bam,73,14577
im easy,easy,73,390
wake up everybody,wake up everybody,100,3756
summer,summer,100,3174
let her in,let me in,84,18612
fox on the run,on the run,83,1537
rhiannon,hangin on,71,8866
got to get you into my life,for once in my life,65,2086
fanny be tender with my love,wanna be with you,62,4532
getaway,get away,93,9434
shes gone,the one,75,9369
still the one,till the end,80,5241
youre my best friend,best friend,71,2470
with your love,it’s your move,79,4927
slow ride,low tide,82,18407
whod she coo,old school,64,18437
the boys are back in town,the boys are back in town,100,451
walk away from love,falling away from me,72,50
baby i love your way live,baby i love your way,89,404
young hearts run free,on the run feat offset,60,17032
breaking up is hard to do,break up in the end,64,8850
money honey,mony mony,80,6394
give up the funk tear the roof off the sucker,get the fuck off my dick,52,4117
junk food junkie,run of good luck,62,4919
tryin to get the feeling again,got the feeling,62,12514
rock and roll all nite live,rock and roll all nite,90,417
disco duck,disco azúcar,64,15413
take the money and run,take the money and run,100,3956
squeeze box,que bello,60,5647
country boy you got your feet in la,thats what you do when youre in love,54,5359
tonights the night gonna be alright,tonight is the night,65,17874
i just want to be your everything,you to me are everything,67,1186
best of my love,best of my love,100,3827
evergreen love theme from a star is born,take my breath away  love theme from top gun,52,644
angel in your arms,in your arms,80,6144
i like dreamin,i like it,70,86
dont leave me this way,dont believe the hype,65,844
your love has lifted me higher and higher,your love keeps lifting me higher  higher,83,2046
undercover angel,undercover,77,15554
torn between two lovers,teen lovers,65,9470
im your boogie man,in your room,67,12731
dancing queen,dancing queen,100,2163
you make me feel like dancing,you make me feel like dancing  remastered,83,2215
margaritaville,magic tide,58,6762
telephone line,telephone,78,10135
whatcha gonna do,what you do,67,6165
do you wanna make love,do you wanna party,70,1217
sir duke,sir duke,100,6845
hotel california,california,77,384
got to give it up,got to give it up part 1,83,6844
gonna fly now,one flow,67,8039
southern nights,the nights,80,8167
rich girl,rich girl,100,14725
when i need you,who needs you,79,9417
hot line,hold the line,76,2138
car wash,crash,77,2864
you dont have to be a star to be in my show,i dont want to be  stripped version,54,1582
fly like an eagle,fight like a girl,65,13127
dont give up on us,dont give up,80,6221
on and on,off and on,84,3571
feels like the first time,for the first time,74,176
couldnt get it right,til i get it right,74,5247
easy,easy,100,390
right time of the night,the rhythm of the night,74,2429
ive got love on my mind,gentle on my mind,75,18833
blinded by the light,blinded by the light,100,439
looks like we made it,love it if we made it,71,14902
so in to you,sing to you,87,18453
dreams,dreams,100,1190
enjoy yourself,show yourself,74,8446
dazz,dna,57,3674
im in you,im missing you,78,4400
lucille,lucifer,71,9316
the things we do for love,the power of love,67,2251
da doo ron ron,lady down on love,58,5420
handy man,candy man,89,9231
just a song before i go,just as i am,57,97
you and me,you and me,100,1589
swayin to the music slow dancing,alguien canto  the music played,60,4235
lonely boy,lonely boy,100,6302
i wish,i wish,100,2381
dont stop,dont stop,100,2226
barracuda,barracuda,100,483
strawberry letter 23,strawberry letter 23,100,2223
night moves,night moves,100,8520
youre my world,youre gold,75,15460
heard it in a love song,ah its a love song,78,17887
carry on wayward son,carry on wayward son,100,489
new kid in town,london town,62,13871
my heart belongs to me,you belong to me,74,5854
after the lovin,after the tone,83,11031
jet airliner,sweet caroline,69,1793
stand tall,stand still,86,5998
way down,long way down,76,6326
weekend in new england,a new england,69,2860
it was almost like a song,walk like a man,60,8229
smoke from a distant fire,waves from a distance,70,4171
cold as ice,cold as stone,75,15202
ariel,maribel,83,16907
lost without your love,lost without you,84,3254
star wars themecantina band,stairway to heaven,53,413
float on,float on,100,2518
jeans on,lean on,80,6994
lido shuffle,indigo puff,61,18608
keep it comin love,keep it close,77,15007
you made me believe in magic,do you believe in magic,78,296
livin thing,livin thing,100,510
give a little bit,give a little bit,100,498
thats rock n roll,rock  roll,74,6053
love so right,love me right,85,3195
the rubberband man,the rubberband man,100,6880
i never cry,never ever,67,12289
nobody does it better,nobody does it better,100,12214
high school dance,solo dance,67,18391
loves grown deep,love on me,69,11922
aint gonna bump no more with no big fat woman,the sun aint gonna shine anymore  stereo version,52,2097
i wanna get next to you,i wanna get better,73,9664
somebody to love,somebody to love,100,293
muskrat love,mad love,70,10183
walk this way,walk this way,100,452
cherchez la femme,chelcheleh,59,13284
year of the cat,leaf off  the cave,73,3198
boogie nights,some nights,75,8487
go your own way,go your own way,100,2151
sorry seems to be the hardest word,scatter my ashes along the coast or dont,57,14147
dont worry baby,dont worry be happy,82,8508
knowing me knowing you,holding her and loving you,67,5421
how much love,show me love,80,15157
star wars main title,estar sin ti,69,10180
devils gun,devil,67,1634
shadow dancing,shadow wind,72,8328
night fever,night moves,73,8520
you light up my life,light my fire,67,274
stayin alive,stay alive,91,9532
kiss you all over,miss you all the time,68,13581
how deep is your love,how deep is your love,100,13160
baby come back,baby got back,81,879
love is thicker than water,love is like a heat wave,68,8245
boogie oogie oogie,tootimetootimetootime,62,4339
three times a lady,the games we play,69,7334
grease,release,77,11541
i go crazy,i go crazy,100,13778
youre the one that i want,youre the one that i want  from “grease”,78,8567
emotion,emotion,100,4315
lay down sally,let me down slowly,69,6490
miss you,i miss you,89,16
just the way you are,just the way you are,100,1936
with a little luck,just a little crush,65,8928
if i cant have you,if i didnt have you,86,5462
dance dance dance yowsah yowsah yowsah,dance with darkness,46,15013
feels so good,feels so good,100,17182
hot child in the city,blood in the cut,65,16839
love is like oxygen,love is blind,69,2637
its a heartache,its a heartache,100,2147
we will rock youwe are the champions,we will rock you  remastered,66,455
baker street,backstreets,78,482
cant smile without you,cant do without you,83,2582
too much too little too late,too much time together,68,6733
dance with me,dance with me,100,9476
two out of three aint bad,youth of the nation,64,45
jack and jill,jackie and wilson,73,8324
take a chance on me,take on me,69,636
sometimes when we touch,every time we touch,67,1897
last dance,last chance,86,4417
hopelessly devoted to you,hopeless boy feat david ortiz,56,4366
hot blooded,hot blood,90,6285
youre in my heart the final acclaim,your in my head,56,16640
the closer i get to you,close to you,69,2416
dust in the wind,dust in the wind,100,356
magnet and steel,hide and seek,62,17912
short people,24 hour party people,69,2930
use ta be my girl,steal my girl,73,1443
our love,your love,94,791
love will find a way,find a way,67,7718
an everlasting love,everlasting love,91,2103
love is in the air,groove is in the heart,80,2408
goodbye girl,good girl,86,8842
slip slidin away,slippin away,79,5301
the groove line,the good life,79,16816
thunder island,thunder road,77,16979
imaginary lover,im in love,72,9267
still the same,all the same,85,6719
my angel baby,my angel,76,4382
disco inferno,mambo infierno,67,11267
on broadway,open road,70,1821
come sail away,come sail away,100,497
every time i turn around back in love again,never come back again,56,16249
this time im in it for love,this aint really love,62,12248
you belong to me,you belong to me,100,5854
here you come again,see you again,75,3126
blue bayou,blue bayou,100,411
peg,ego,67,11419
you needed me,you and me,78,1589
shame,shame,100,2619
reminiscing,reminisce,80,11180
count on me,lost on me,76,9422
baby hold on,baby hold on,100,476
hey deanie,when you dance,67,5852
summer nights,summer nights,100,4363
whats your name,what you need,79,7227
dont it make my brown eyes blue,dont it make my brown eyes blue  2001 digital remaster,73,5236
because the night,because the night,100,6023
every kinda people,everyday people,85,823
copacabana,jacaranda,63,3890
always and forever,always wonder,71,13430
you and i,you and i,100,5432
serpentine fire,i see fire,64,1777
sentimental lady,sentimental,81,4159
falling,falling,100,1540
dont let me be misunderstood,dont let me be misunderstood,100,2109
bluer than blue,larger than life,71,16777
running on empty,running on empty,100,461
whenever i call you friend,when i call em,65,11446
fool if you think its over,do you think about me,64,15146
get off,better off,71,4711
sweet talkin woman,sweet talker,67,13980
lifes been good,lifes been good,100,507
i love the nightlife,live the night,76,15625
you cant turn me off in the middle of turning me on,turn the skies of blue on,53,9595
its so easy,its so easy,100,4002
native new yorker,still new york,71,11496
flash light,last night,76,4786
dont look back,dont look back in anger,76,2341
turn to stone,turn me on,70,6971
i cant stand the rain,i cant stand it,78,6750
ebony eyes,ocean eyes,70,5885
the name of the game,more of the same,72,6764
were all alone,breach walk alone,71,4279
hollywood nights,hollywood sky,76,4801
deacon blues,deacon blues,100,505
my sharona,my sharona,100,474
bad girls,bad girls,100,2638
le freak,le freak,100,2170
da ya think im sexy,do you think about me,60,15146
reunited,reunite,93,3201
i will survive,i will survive,100,15942
hot stuff,hot stuff,100,2193
ymca,lyca,75,13888
ring my bell,ring my bell,100,12974
sad eyes,red eyes,75,2576
too much heaven,too much sauce,69,8663
macarthur park,after dark,58,3185
when youre in love with a beautiful woman,shes in love with the boy,58,5456
makin it,faking it,82,7181
fire,fire,100,2701
tragedy,greek tragedy,70,6462
a little more love,a little more,84,4715
heart of glass,heart of gold,81,362
what a fool believes,what a fool believes  live,87,16010
good times,good times,100,4719
you dont bring me flowers,you dont know,63,16939
knock on wood,knock on wood,100,6871
stumblin in,stumblin home,75,9626
lead me on,had me goin,76,14748
shake your body down to the ground,shake your body down to the ground  single edit,84,838
dont cry out loud,dont you know,67,9993
the logical song,the lotion song,77,3079
my life,my life,100,7741
just when i needed you most,just what i needed,71,445
you cant change that,you cant change me,84,12626
shake your groove thing,shake your bonbon,70,17347
ill never love this way again,ill never love,65,3308
love you inside out,love runs out,75,16147
i want you to want me,i want you to want me,100,437
the main eventfight,the scientist,62,1915
mama cant buy you love,i cant make you love me,67,1401
i was made for dancin,i was made for lovin you,76,602
after the love has gone,after the tone,70,11031
heaven knows,heaven knows,100,10584
the gambler,the gambler,100,5296
lotta love,whole lotta love,77,253
lady,lady,100,6712
heaven must have sent you,heavens just a sin away,71,5246
hold the line,hold the line,100,2138
hes the greatest dancer,the greatest,69,2557
sharing the night together,when the night is over,67,16212
she believes in me,i believe in love,74,16012
in the navy,in the end,76,1
music box dancer,cosmic dancer,69,6064
the devil went down to georgia,the devil went down to georgia,100,5317
gold,gold,100,3148
goodnight tonight,tonight tonight,88,15009
we are family,we are family,100,15945
rock n roll fantasy,rock and roll all nite,73,417
every 1s a winner,everyday is a winding road,70,1194
take me home,take me home,100,10878
boogie wonderland,boogie wonderland,100,2169
our love dont throw it all away,your love could start a war,62,14819
what you wont do for love,what you dont do,73,14681
new york groove,in your room,67,12731
sultans of swing,sultans of swing,100,462
i want your love,high on your love,79,13444
chuck es in love,youre in love,69,537
i love the nightlife,live the night,76,15625
aint no stoppin us now,aint no halfsteppin,68,9108
lonesome loser,one step closer,76,3422
renegade,renegade,100,9309
love is the answer,love is the drug,76,6044
got to be real,got to my head,71,9693
born to be alive,born to be yours,69,5626
shine a little love,save a little love,86,8192
i just fall in love again,do it all over again,71,2515
shake it,shake it,100,8970
i was made for lovin you,i was made for lovin you,100,602
i just wanna stop,i just cant,71,7870
disco nights rockfreak,some nights,55,8487
ooo baby baby,baby boy,67,170
september,september,100,1183
time passages,messages,76,2882
rise,rise,100,4334
dont bring me down,dont let me down,76,4684
promises,promise,93,13040
get used to it,we used to wait,83,9504
how much i feel,how u feelin,74,8014
suspicions,superstition,64,6391
you take my breath away,take me away,69,7209
how you gonna see me now,how you like me now,74,7424
double vision,double down,75,14898
everytime i think of you,every time i look for you,78,14862
i got my mind made up you can get it girl,does my ring hurt your finger,51,5155
dont stop til you get enough,dont stop til you get enough  single version,78,2186
bad case of loving you doctor doctor,ill be loving you forever,56,626
somewhere in the night,somewhere in between,76,6778
weve got tonight,weve got tonight,100,624
dance the night away,rage the night away,87,17575
dancin shoes,dancing shoes,96,4941
the boss,the boss,100,6882
sail on,sail on,100,4791
i do love you,i love you,87,13961
strange way,stranger,74,7336
call me,call me,100,733
another brick in the wall part ii,another brick in the wall pt 1,92,467
magic,magic,100,1829
rock with you,one with you,80,6612
do that to me one more time,baby one more time,67,2344
crazy little thing called love,i believe in a thing called love,71,1388
coming up,come up,75,14232
funkytown,unknown,75,18820
its still rock and roll to me,its still rock and roll to me,100,821
the rose,the promise,84,3324
escape the pina colada song,escape the pina colada song,100,15993
cars,cars,100,2775
cruisin,cruise,77,1805
working my way back to youforgive me girl,walking back to georgia,56,7787
lost in love,lost in love,100,4365
little jeannie,little lies,72,11015
ride like the wind,i like the way,75,17481
upside down,upside down,100,8576
please dont go,please dont go,100,15825
babe,bae,86,5551
with you im born again,you win again,69,5042
shining star,shining,74,8630
still,still,100,16203
yes im ready,es mi reina,70,3920
sexy eyes,sleepy eyes,80,7874
steal away,walk away,74,4399
biggest part of me,best part of us,79,10769
this is it,this is love,73,2535
cupidive loved you for a long time,didnt i blow your mind this time,55,2125
lets get serious,lets get loud,76,215
dont fall in love with a dreamer,fell in love with a girl,71,6310
sailing,sing,73,16093
longer,linger,83,1058
coward of the county,caught up in the country,64,8845
ladies night,last night,82,4786
too hot,too hot,100,7255
take your time do it right,take me home tonight,65,835
no more tears enough is enough,close enough  feat noosa,52,9403
more love,your love,78,791
pop muzik,oxy music,56,4554
brass in pocket,brass monkey,67,9086
special lady,special affair,69,17706
send one your love,ready for your love,76,12217
the second time around,when i come around,70,943
we dont talk anymore,i dont hurt anymore,77,16757
heartache tonight,here tonight,83,6492
stomp,stomp,100,16381
tired of toein the line,the cog in the machine,67,14151
better love next time,better in time,74,194
him,hit,67,3017
against the wind,leaf in the wind,75,4816
on the radio,on the road,87,1831
emotional rescue,emociones,64,10458
rise,rise,100,4334
all out of love,all out of love,100,613
cool change,people change,75,4923
youre only lonely,only lonely,79,3209
desire,desire,100,694
let my love open the door,sleep on the floor,65,1505
romeos tune,romeos tune,100,3960
daydream believer,daydream believer,100,8251
i cant tell you why,dying to tell you,67,11055
dont let go,dont let me go,88,10107
dont do me like that,its like that,67,9078
shes out of my life,best day of my life,74,12985
fame,fame,100,15976
fire lake,first take,74,3644
how do i make you,i don’t blame you,65,6004
into the night,of the night,85,9425
let me love you tonight,let me love you,79,145
misunderstanding,outstanding,67,11823
an american dream,american dream,90,8319
one fine day,one fine day,100,6865
dim all the lights,all of the lights,80,7351
you may be right,let you be right,75,12428
hurt so bad,hurt somebody,75,18270
shouldve never let you go,never let you go,78,5543
pilot of the airwaves,out of the darkness,70,5805
off the wall,on the ball,78,17153
i pledge my love,wheres my love,67,1499
the long run,the sound,67,2632
stand by me,stand by me,100,2056
heartbreaker,heartbreaker,100,316
deja vu,deja vu,100,8632
drivin my life away,ruin my life,71,7185
take the long way home,long way home,74,3968
sara,sakura,80,9821
wait for me,wait for me,100,4001
jojo,mojado,60,10484
september morn,september,78,1183
give me the night,live the night,84,15625
broken hearted me,broken heart,83,1636
you decorated my life,you were mine,65,5508
tusk,lotus,67,4478
i wanna be your lover,i wanna be your dog,85,345
in america,judas in america,77,15286
breakdown dead ahead,breakdown,62,488
ships,starships,71,18102
all night long,all night long,100,6693
refugee,fugeela,71,9180
bette davis eyes,better dayz,67,3530
endless love,restless love,80,11531
lady,lady,100,6712
just like starting over,starting over,72,4771
jessies girl,jessies girl,100,715
celebration,elevation,80,14249
kiss on my list,back on my sht,69,11827
i love a rainy night,i love the rain the most,68,18594
9 to 5,9 to 5,100,784
keep on loving you,keep on loving you,100,6900
theme from the greatest american hero believe it or not,theme from the steps of life,55,13347
morning train nine to five,mountain to move,62,8261
being with you,one with you,77,6612
queen of hearts,queen of hearts,100,5411
rapture,rapture,100,12848
a woman needs love just like you do,a woman like you,63,4920
the tide is high,the time is now,71,12836
just the two of us,just the two of us feat bill withers,67,396
slow hand,slow hands,95,15887
i love you,i love you,100,13961
woman,woman,100,53
sukiyaki,sky walker,56,14638
the winner takes it all,take it all,65,12874
stars on 45 medley,thats on me,62,11819
angel of the morning,in the morning,76,1145
love on the rocks,love on the weekend,72,1509
every woman in the world,woman of the world,76,1210
the one that you love,the one that you love,100,630
guilty,unity,73,864
the best of times,the heart of me,75,9704
elvira,elvira,100,5336
take it on the run,blanket on the ground,77,5297
theres no gettin over me,theres no gettin over me,100,5429
living inside myself,love myself,65,4668
woman in love,woman in love,100,639
the boy from new york city,the boys are back in town,55,451
urgent,rent,80,18528
passion,pain,73,4569
lady you bring me up,young lady youre scaring me,68,14985
crying,crying,100,308
hearts,heartsigh,80,2668
its my turn,its yours,70,9119
you make my dreams,you make my dreams,100,769
i dont need you,i dont know you,80,3538
how bout us,what about us,75,15833
hit me with your best shot,i melt with you 7 mix,64,9794
the breakup song they dont write em,is she really going out with him,57,2793
time,time,100,1851
hungry heart,hungry heart,100,782
sweetheart,sweet harmony,70,2980
somebodys knockin,somebodys knockin,100,5408
more than i can say,more than friends,72,10942
together,together,100,7915
too much time on my hands,too much time together,68,6733
what are we doin in love,at war with love,65,6621
whos crying now,whos making love,65,3840
de do do do de da da da,the drums din daa daa,55,12168
this little girl,this girl,72,4720
stop draggin my heart around,dont go breaking my heart,60,2137
giving it up for your love,giving it all to you,70,4951
a little in love,little love,81,18208
america,africa,77,762
aint even done with the night,lets fall in love for the night,60,7172
arthurs theme best that you can do,arthurs theme best that you can do  remastered version,77,627
another one bites the dust,another one bites the dust  remastered 2011,75,666
games people play,the games we play,71,7334
i cant stand it,i cant stand it,100,6750
while you see a chance,when you dance,67,5852
master blaster jammin,after the moment,59,6717
hello again,alone again,73,557
dont stand so close to me,dont close your eyes,62,593
hey nineteen,the finest,64,9268
i aint gonna stand for it,i cant stand it,70,6750
all those years ago,silent all these years,68,17001
step by step,step by step,100,2386
the stroke,the joker,74,454
feels so right,feels right,88,12643
sweet baby,sweet boy,84,12335
same old lang syne,same ole me,62,5426
cool love,only love,78,1485
hold on tight,hold on pt 2,72,16630
its now or never,now or never,86,4350
treat me right,love me right,74,3195
winning,winning,100,16663
what kind of fool,chain of fools,77,3839
watching the wheels,catchin the vibe,69,14382
tell it like it is,i tell it like it used to be,74,5404
smoky mountain rain,mountain man,71,8287
i made it through the rain,i heard it through the grapevine,83,2068
youve lost that lovin feelin,youve got the love,70,1959
suddenly,suddenly,100,6786
for your eyes only,open your eyes,69,12885
the beach boys medley,the heart of me,61,9704
whip it,whip it,100,750
modern girl,american girl,75,440
really wanna know you,wanna know u,73,4296
seven year ache,seven year ache,100,5381
im coming out,im coming out,100,16008
miss sun,miss u,86,9838
time is time,this time,76,5261
physical,tropical,62,14240
eye of the tiger,eye of the tiger,100,570
i love rock n roll,i love rock n roll,100,774
ebony and ivory,the one and only,65,13008
centerfold,centerfold,100,6406
dont you want me,dont you want me,100,1371
jack  diane,jack  diane,100,3966
hurts so good,whats good,70,16894
abracadabra,caradura,63,15375
hard to say im sorry,i wont say im sorry,77,14152
tainted love,tainted love,100,710
chariots of fire,ring of fire,71,1806
harden my heart,change my heart,80,8384
rosanna,rosanna,100,785
i cant go for that no can do,i want it that way,57,2345
8675309jenny,penny,47,14745
key largo,kinky afro,63,3011
you should hear how she talks about you,this town still talks about you,57,4917
waiting for a girl like you,waiting for a girl like you,100,637
dont talk to strangers,dont take the money,63,9657
the sweetest thing ive ever known,the sweetest thing ive ever known,100,5373
always on my mind,all on my mind,84,16369
shake it up,shake it up,100,7466
let it whip,let it sing,73,12810
we got the beat,we got the funk,73,9237
the other woman,on the other hand,75,5387
turn your love around,turn it around,69,14711
sweet dreams,safe dream,73,3271
only the lonely,only lonely,85,3209
who can it be now,who can it be now,100,812
hold me,hold me now,78,822
eye in the sky,riders in the sky,77,5006
lets groove,lets go,78,6426
open arms,open arms,100,629
leader of the band,leader of the pack,83,17301
leather and lace,better place,64,14973
even the nights are better,the night we met,67,3256
ive never been to me,never be the same,70,4653
65 love affair,i love it,61,4272
heat of the moment,heat of the summer,83,12238
take it easy on me,take it easy  remastered,76,2180
pacman fever,adam and eve,67,7340
that girl,this girl,78,4720
private eyes,red eyes,70,2576
trouble,trouble,100,1595
making love,whos making love,81,3840
loves been a little bit hard on me,mambo no 5 a little bit of,60,2339
young turks,young folks,73,1895
freezeframe,freeze me,80,14816
keep the fire burnin,keep this fire burning,90,11946
do you believe in love,i believe in love,82,16012
cool night,one night,74,4057
caught up in you,caught up in the country,75,8845
why do fools fall in love,why do fools fall in love,100,1993
love in the first degree,love in the hot afternoon,65,5253
hooked on classics,hooked on a feeling,65,13757
wasted on the way,wade in the water,71,3823
think im in love,im in love,77,9267
love is in control finger on the trigger,love is stronger than pride,63,16018
personally,personal,89,4469
one hundred ways,one hundred,81,18269
blue eyes,blue skies,74,5266
our lips are sealed,our lips are sealed,100,2867
you could have been with me,you could have been the one,89,9623
you can do magic,you and me,69,1589
did it in a minute,come up in a minute,70,3058
i ran so far away,energy stay far away,65,1669
somebodys baby,somebody,73,8365
oh no,oh no,100,6752
take it away,take me away,83,7209
its gonna take a miracle,its gonna be me,72,171
love will turn you around,love will tear us apart,62,1392
dont stop believin,dont stop believin,100,597
comin in and out of your life,come and get your love,67,2201
gloria,gloria,100,2305
empty garden hey hey johnny,you are the reason,53,5887
yesterdays songs,yesterday,72,4485
crimson and clover,crimson and clover,100,2730
every little thing she does is magic,every little thing she does is magic  remastered 2003,81,17318
here i am,where u are,70,13441
i keep forgettin every time youre near,does fort worth ever cross your mind,54,5361
get down on it,go down in history,69,14167
any day now,cant say no,73,13753
make a move on me,take me home,69,10878
take my heart you can have it if you want it,the heart wants what it wants,60,14001
mirror mirror,mirror live,67,16066
vacation,vacation,100,15657
oh pretty woman,oh pretty woman,100,258
should i do it,so do i,67,11962
hot in the city,in this city,74,13022
kids in america,judas in america,84,15286
man on your mind,something on your mind,79,407
whats forever for,whats forever for,100,5345
waiting on a friend,asking for a friend,79,4922
do i do,i do,73,4777
working for the weekend,working for the weekend,100,546
goin down,going on,82,9770
arthurs theme best that you can do,arthurs theme best that you can do  remastered version,77,627
through the years,thru these tears,79,6485
edge of seventeen just like the white winged dove,edge of seventeen,52,8559
every breath you take,every breath you take,100,612
billie jean,billie jean,100,697
flashdance what a feeling,such a feeling,62,9256
down under,down under,100,783
beat it,beat it,100,4026
total eclipse of the heart,total eclipse of the heart,100,652
maneater,maneater,100,787
baby come to me,baby one more time,73,2344
maniac,maniac,100,2232
sweet dreams are made of this,sweet dreams are made of this  remastered,83,765
do you really want to hurt me,do you really want it,80,1624
you and i,you and i,100,5432
come on eileen,come on eileen,100,716
shame on the moon,way to the moon,75,6135
she works hard for the money,lets hear it for the boy,65,818
never gonna let you go,never let you go,84,5543
hungry like the wolf,hungry like the wolf,100,6371
lets dance,lifes a dance,78,5506
twilight zone,light on,76,1179
i know theres something going on,im into something good,67,8252
jeopardy,ready,62,6202
electric avenue,electric love,79,6432
she blinded me with science,she blinded me with science,100,2928
africa,africa,100,762
little red corvette,little love,67,18208
back on the chain gang,breaking the chains,68,603
up where we belong,up where we belong,100,391
mr roboto,my boo,67,172
you are,you broke,75,11575
der kommissar,murder on my mind,53,11808
puttin on the ritz,into the mist,65,12085
sexual healing,ex calling,67,5999
keep feeling fascination,keep holding on,62,10694
time clock of the heart,total eclipse of the heart,69,652
the safety dance,the safety dance,100,705
mickey,icey,80,7525
you cant hurry love,you cant hurry love,100,2066
separate ways worlds apart,the perfect way to fall apart,62,14149
one on one,one  one,89,8314
weve got tonight,weve got tonight,100,624
1999,1999,100,13102
stray cat strut,ready to start,69,2608
allentown,lento,71,83
stand back,lean back,74,17241
tell her about it,tell me  acoustic,71,1519
always something there to remind me,something for your mind,62,2606
truly,try,75,16037
dirty laundry,dirty water,67,2711
the girl is mine,the world is mine,85,5712
too shy,to stay,71,5990
goody twoshoes,good to me,67,3317
rock the casbah,crack the case,76,16242
our house,our house,100,399
overkill,over it,67,1629
is there something i should know,something to hold on to,65,3325
gloria,gloria,100,2305
affair of the heart,trapper of the year,68,7315
