Song_Name,Matched_Name,Ratio_Value,Song_List_Index
cherry cherry,cherry pie,70,551
working in the coal mine,killing in the name,70,1106
message to michael,a message to you and myself,62,7199
love is a hurtin thing,my love  hotline bling,64,1389
barbara ann,barbara ann,100,5857
gloria,gloria,100,2305
my world is empty without you,lost without you,67,3254
rainy day women 12  35,rainy day,58,10986
guantanamera,guantanamera,100,209
land of 1000 dances,land of 1000 dances,100,3815
oh how happy,hip hop hooray,62,848
woman,woman,100,53
you baby,you say,80,4700
five oclock world,wild world,59,383
black is black,back in black,89,14929
nowhere man,another man,82,9227
dandy,daddy,80,9370
baby scratch my back,baby got back,67,879
shes just my style,just my type,73,12259
the more i see you,the world is yours,72,847
i fought the law,i fought the law,100,311
yellow submarine,submarine,72,8040
hungry,hunger,83,13425
zorba the greek,the greatest,59,2557
shapes of things,the few things,73,3253
6345789 soulsville usa,soul sista,50,3741
to sir with love,at war with love,81,6621
the letter,the letter,100,2113
ode to billie joe,ode to billie joe,100,5167
windy,wendy,80,15277
im a believer,im a believer,100,2049
light my fire,light my fire,100,274
somethin stupid,somethin stupid,100,2095
happy together,happy together,100,8230
groovin,groovin,100,13955
cant take my eyes off you,cant take my eyes off you,100,2080
little bit o soul,little bit of lovin,78,1174
i think were alone now,i think were alone now,100,8244
respect,respect,100,2131
i was made to love her,i was made for lovin you,74,602
come back when you grow up,come back home,60,9508
kind of a drag,some kind of drug,71,2476
sweet soul music,sweet soul music,100,3813
expressway to your heart,listen to your heart,68,641
soul man,soul man,100,3825
never my love,wheres my love,74,1499
apples peaches pumpkin pie,calles feat tuamie,55,4434
come on down to my boat,coming down the mountain,64,4914
incense and peppermints,incense and peppermints,100,2712
ruby tuesday,by the way,64,3
it must be him,its been awhile,62,32
love is here and now youre gone,got no reason now for goin home,61,5375
for what its worth,for what its worth,100,260
gimme little sign,give a little bit,71,498
the happening,the wanting,75,15070
all you need is love,all we need is love,87,8199
release me,release,82,11541
your precious love,youre in love,71,537
somebody to love,somebody to love,100,293
get on up,get up,80,14920
brown eyed girl,brown eyed girl,100,317
jimmy mack,my oak,62,13356
i got rhythm,i got it made,64,9105
a whiter shade of pale,a whiter shade of pale,100,2091
dont you care,dont you evah,77,9461
then you can tell me goodbye,everything you want me to be,64,14101
reflections,reflection,95,11421
