song_name,artist_name,album_names,playlist,fuzzy_name,fuzzy_artist
Boulevard of Broken Dreams,Green Day,Greatest Hits: God's Favorite Band,00s Rock Anthems,boulevard of broken dreams,green day
In The End,Linkin Park,Hybrid Theory,00s Rock Anthems,in the end,linkin park
Seven Nation Army,The White Stripes,Elephant,00s Rock Anthems,seven nation army,the white stripes
By The Way,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems,by the way,red hot chili peppers
How You Remind Me,Nickelback,Silver Side Up,00s Rock Anthems,how you remind me,nickelback
Bring Me To Life,Evanescence,Fallen,00s Rock Anthems,bring me to life,evanescence
Last Resort,Papa Roach,Infest,00s Rock Anthems,last resort,papa roach
Are You Gonna Be My Girl,Jet,Get Born,00s Rock Anthems,are you gonna be my girl,jet
Mr. Brightside,The Killers,Hot Fuss,00s Rock Anthems,mr brightside,the killers
Sex on Fire,Kings of Leon,Only By The Night,00s Rock Anthems,sex on fire,kings of leon
The Middle,Jimmy Eat World,Bleed American (Deluxe Edition),00s Rock Anthems,the middle,jimmy eat world
Numb,Linkin Park,Meteora,00s Rock Anthems,numb,linkin park
Smooth Criminal,Alien Ant Farm,Anthology,00s Rock Anthems,smooth criminal,alien ant farm
Can't Stop,Red Hot Chili Peppers,By The Way (Deluxe Version),00s Rock Anthems,cant stop,red hot chili peppers
Chop Suey!,System Of A Down,Toxicity,00s Rock Anthems,chop suey,system of a down
Take Me Out,Franz Ferdinand,Franz Ferdinand,00s Rock Anthems,take me out,franz ferdinand
I Miss You,blink-182,blink-182,00s Rock Anthems,i miss you,blink182
Best of You,Foo Fighters,Best Of You,00s Rock Anthems,best of you,foo fighters
I Write Sins Not Tragedies,Panic! At The Disco,A Fever You Can't Sweat Out,00s Rock Anthems,i write sins not tragedies,panic at the disco
Kryptonite,3 Doors Down,The Better Life,00s Rock Anthems,kryptonite,3 doors down
The Kill (Bury Me),Thirty Seconds To Mars,A Beautiful Lie,00s Rock Anthems,the kill bury me,thirty seconds to mars
Use Somebody,Kings of Leon,Only By The Night,00s Rock Anthems,use somebody,kings of leon
No One Knows,Queens of the Stone Age,No One Knows (International Version),00s Rock Anthems,no one knows,queens of the stone age
Jerk It Out,Caesars,Love For The Streets,00s Rock Anthems,jerk it out,caesars
Uprising,Muse,The Resistance,00s Rock Anthems,uprising,muse
Hey There Delilah,Plain White T's,All That We Needed,00s Rock Anthems,hey there delilah,plain white ts
Blurry,Puddle Of Mudd,Come Clean (Repackaged International Version),00s Rock Anthems,blurry,puddle of mudd
American Idiot,Green Day,American Idiot,00s Rock Anthems,american idiot,green day
Welcome to the Black Parade,My Chemical Romance,The Black Parade,00s Rock Anthems,welcome to the black parade,my chemical romance
Gives You Hell,The All-American Rejects,When The World Comes Down,00s Rock Anthems,gives you hell,the allamerican rejects
All My Life,Foo Fighters,ONE BY ONE,00s Rock Anthems,all my life,foo fighters
Like a Stone,Audioslave,Audioslave,00s Rock Anthems,like a stone,audioslave
It's Been Awhile,Staind,Break The Cycle,00s Rock Anthems,its been awhile,staind
I Hate Everything About You,Three Days Grace,Three Days Grace (Deluxe Version),00s Rock Anthems,i hate everything about you,three days grace
Rollin' (Air Raid Vehicle),Limp Bizkit,Chocolate Starfish And The Hot Dog Flavored Water,00s Rock Anthems,rollin air raid vehicle,limp bizkit
Fat Lip,Sum 41,"All Killer, No Filler",00s Rock Anthems,fat lip,sum 41
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",00s Rock Anthems,the pretender,foo fighters
Savior,Rise Against,Appeal To Reason,00s Rock Anthems,savior,rise against
Bodies,Drowning Pool,Sinner,00s Rock Anthems,bodies,drowning pool
"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,00s Rock Anthems,sugar were goin down,fall out boy
Last Nite,The Strokes,Is This It,00s Rock Anthems,last nite,the strokes
Through Glass,Stone Sour,Come What[ever] May,00s Rock Anthems,through glass,stone sour
The Diary of Jane - Single Version,Breaking Benjamin,Phobia (Explicit Version),00s Rock Anthems,the diary of jane  single version,breaking benjamin
Down With the Sickness,Disturbed,The Sickness,00s Rock Anthems,down with the sickness,disturbed
Wish You Were Here,Incubus,Morning View,00s Rock Anthems,wish you were here,incubus
Youth Of The Nation,P.O.D.,Satellite (U.S. Version WEA Distribution),00s Rock Anthems,youth of the nation,pod
Vertigo,U2,How To Dismantle An Atomic Bomb,00s Rock Anthems,vertigo,u2
Miss Murder,AFI,DECEMBERUNDERGROUND,00s Rock Anthems,miss murder,afi
I Bet You Look Good On The Dancefloor,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",00s Rock Anthems,i bet you look good on the dancefloor,arctic monkeys
"Steady, As She Goes",The Raconteurs,Broken Boy Soldiers,00s Rock Anthems,steady as she goes,the raconteurs
Falling Away from Me,Korn,Issues,00s Rock Anthems,falling away from me,korn
Crawling In The Dark,Hoobastank,Hoobastank,00s Rock Anthems,crawling in the dark,hoobastank
I Stand Alone,Godsmack,Faceless,00s Rock Anthems,i stand alone,godsmack
Woman,Wolfmother,Wolfmother,00s Rock Anthems,woman,wolfmother
Show Me How to Live,Audioslave,Audioslave,00s Rock Anthems,show me how to live,audioslave
The Red,Chevelle,Wonder What's Next,00s Rock Anthems,the red,chevelle
Remedy,Seether,Karma and Effect,00s Rock Anthems,remedy,seether
Plug In Baby,Muse,Origin Of Symmetry,00s Rock Anthems,plug in baby,muse
Change (In the House of Flies) - In The House Of Flies LP Version,Deftones,White Pony (U.S. Version),00s Rock Anthems,change in the house of flies  in the house of flies lp version,deftones
Judith,A Perfect Circle,Mer De Noms,00s Rock Anthems,judith,a perfect circle
MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),100% LatinX,mia feat drake,bad bunny
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",100% LatinX,taki taki with selena gomez ozuna  cardi b,dj snake
White Boi,Dillon Francis,WUT WUT,100% LatinX,white boi,dillon francis
Just Wanna Love You (feat. J. Balvin),Cris Cab,Just Wanna Love You (feat. J. Balvin),100% LatinX,just wanna love you feat j balvin,cris cab
Beautiful (feat. Camila Cabello),Bazzi,Beautiful (feat. Camila Cabello),100% LatinX,beautiful feat camila cabello,bazzi
Celoso,Lele Pons,Celoso,100% LatinX,celoso,lele pons
Good Vibes,Fuego,Good Vibes,100% LatinX,good vibes,fuego
Real Friends,Camila Cabello,Real Friends,100% LatinX,real friends,camila cabello
Pa La Calle,COASTCITY,Pa La Calle,100% LatinX,pa la calle,coastcity
Pa Mí,Dalex,Pa Mí,100% LatinX,pa mí,dalex
Wake Up in the Sky,Gucci Mane,Wake Up in the Sky,100% LatinX,wake up in the sky,gucci mane
Está Rico,Marc Anthony,Está Rico,100% LatinX,está rico,marc anthony
Banana Clip - Spanish Version,Miguel,Banana Clip (Spanish Version),100% LatinX,banana clip  spanish version,miguel
YAKWTFGO (feat. Kali Uchis),BIA,NICE GIRLS FINISH LAST: CUIDADO,100% LatinX,yakwtfgo feat kali uchis,bia
Come With Me,Kap G,no kap,100% LatinX,come with me,kap g
Como Si Na,Melii,Como Si Na,100% LatinX,como si na,melii
Blah,Mariah,Blah,100% LatinX,blah,mariah
Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),A.CHAL,Love N Hennessy REMIX (feat. 2 Chainz & Nicky Jam),100% LatinX,love n hennessy remix feat 2 chainz  nicky jam,achal
Mi Infinita,Cuco,Chiquito,100% LatinX,mi infinita,cuco
Coqueta,Katzù Oso,Pastel,100% LatinX,coqueta,katzù oso
Sola,Jessie Reyez,Sola,100% LatinX,sola,jessie reyez
Nuestro Planeta (feat. Reykon),Kali Uchis,Nuestro Planeta (feat. Reykon),100% LatinX,nuestro planeta feat reykon,kali uchis
Hijo de Su Madre,Omar Apollo,Stereo,100% LatinX,hijo de su madre,omar apollo
Lento,Rudy Mancuso,Lento,100% LatinX,lento,rudy mancuso
Dicen,Matt Hunter,Dicen,100% LatinX,dicen,matt hunter
BEBE,6ix9ine,BEBE,100% LatinX,bebe,6ix9ine
I Like It,Cardi B,Invasion of Privacy,100% LatinX,i like it,cardi b
Zooted (feat. French Montana & Farruko),Becky G,Zooted (feat. French Montana & Farruko),100% LatinX,zooted feat french montana  farruko,becky g
Havana - Remix,Camila Cabello,Havana (Remix),100% LatinX,havana  remix,camila cabello
Pum Pum,Sammi Sanchez,Pum Pum,100% LatinX,pum pum,sammi sanchez
Quiero Saber,Jesse Baez,Quiero Saber,100% LatinX,quiero saber,jesse baez
Como,Kim Viera,Como,100% LatinX,como,kim viera
Anywhere Contigo,Breakfast n Vegas,Anywhere Contigo,100% LatinX,anywhere contigo,breakfast n vegas
No Gratis,Messiah,No Gratis,100% LatinX,no gratis,messiah
Díganle - Tainy Remix,Leslie Grace,Díganle (Tainy Remix),100% LatinX,díganle  tainy remix,leslie grace
Sangria Wine,Pharrell Williams,Sangria Wine,100% LatinX,sangria wine,pharrell williams
All Day,DaniLeigh,Summer With Friends,100% LatinX,all day,danileigh
Just As I Am,Spiff TV,Just As I Am,100% LatinX,just as i am,spiff tv
Nice & Slow,Nina Sky,Nice & Slow,100% LatinX,nice  slow,nina sky
Scooby Doo Pa Pa (Remix),Dj Kass,Scooby Doo Pa Pa (Remix) - Single,100% LatinX,scooby doo pa pa remix,dj kass
Don't Werk,Paula DeAnda,Don't Werk,100% LatinX,dont werk,paula deanda
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",100% LatinX,1 2 3 feat jason derulo  de la ghetto,sofia reyes
Pa Mi (with Ozuna),Tory Lanez,Pa Mi (with Ozuna),100% LatinX,pa mi with ozuna,tory lanez
Lo Siento,SUPER JUNIOR,REPLAY - The 8th Repackage Album,100% LatinX,lo siento,super junior
Nuestra Cancion Pt. 2 (feat. Arcángel),Snow Tha Product,Nuestra Cancion Pt. 2 (feat. Arcángel),100% LatinX,nuestra cancion pt 2 feat arcángel,snow tha product
La Hora Loca,Jackie Cruz,La Hora Loca,100% LatinX,la hora loca,jackie cruz
Dinero - English Version,Trinidad Cardona,Dinero (English Version),100% LatinX,dinero  english version,trinidad cardona
Pum Pum (feat. Kap G & Play-N-Skillz),Messiah,Pum Pum (feat. Kap G & Play-N-Skillz),100% LatinX,pum pum feat kap g  playnskillz,messiah
Hora Loca,DJ Africa,Hora Loca,100% LatinX,hora loca,dj africa
Better With You,Michl,Better With You,100% LatinX,better with you,michl
NIGHTS LIKE THESE,Ne-Yo,GOOD MAN (Deluxe),100% LatinX,nights like these,neyo
Alright,Anthony Ramos,Alright,100% LatinX,alright,anthony ramos
Insecure,Amara La Negra,Insecure,100% LatinX,insecure,amara la negra
Si Una Vez - (If I Once)[Spanglish Version],Play-N-Skillz,Si Una Vez [(If I Once)[Spanglish Version]],100% LatinX,si una vez  if i oncespanglish version,playnskillz
Finesse (Remix) [feat. Cardi B],Bruno Mars,Finesse (Remix) [feat. Cardi B],100% LatinX,finesse remix feat cardi b,bruno mars
Belong To U,Fancy Cars,Belong To U,100% LatinX,belong to u,fancy cars
Sunny Daze,Salaam Remi,South Beach Social Club,100% LatinX,sunny daze,salaam remi
"Uno Más Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez (Remix)",N.O.R.E.,"Uno Más Remix Feat. Pharrell Williams, Miguel, Wiz Khalifa, J Alvarez",100% LatinX,uno más feat pharrell williams miguel wiz khalifa j alvarez remix,nore
Island,Lil Eddie,Island,100% LatinX,island,lil eddie
Crazy In Love,Beyoncé,Dangerously In Love,2000s Smash Hits,crazy in love,beyoncé
Rock Your Body,Justin Timberlake,Justified,2000s Smash Hits,rock your body,justin timberlake
Beautiful Girls,Sean Kingston,Sean Kingston,2000s Smash Hits,beautiful girls,sean kingston
Toxic,Britney Spears,Greatest Hits: My Prerogative,2000s Smash Hits,toxic,britney spears
Michael Jackson x Mark Ronson: Diamonds are Invincible,Michael Jackson,Michael Jackson x Mark Ronson: Diamonds are Invincible,2000s Smash Hits,michael jackson x mark ronson diamonds are invincible,michael jackson
Yeah!,Usher,Confessions (Special Edition),2000s Smash Hits,yeah,usher
Live Your Life (feat. Rihanna),T.I.,Paper Trail,2000s Smash Hits,live your life feat rihanna,ti
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,2000s Smash Hits,hips dont lie,shakira
"Hey, Soul Sister",Train,"Hey, Soul Sister",2000s Smash Hits,hey soul sister,train
Pumped Up Kicks,Foster The People,Torches,2000s Smash Hits,pumped up kicks,foster the people
Love Never Felt so Good,Michael Jackson,XSCAPE,2000s Smash Hits,love never felt so good,michael jackson
Hall of Fame,The Script,#3,2000s Smash Hits,hall of fame,the script
All of Me,John Legend,Love In The Future,2000s Smash Hits,all of me,john legend
Drops of Jupiter,Train,Drops Of Jupiter,2000s Smash Hits,drops of jupiter,train
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),2000s Smash Hits,we cant stop,miley cyrus
Fighter,Christina Aguilera,Stripped,2000s Smash Hits,fighter,christina aguilera
Since U Been Gone,Kelly Clarkson,Breakaway,2000s Smash Hits,since u been gone,kelly clarkson
Hey Ya! - Radio Mix / Club Mix,OutKast,Speakerboxxx/The Love Below,2000s Smash Hits,hey ya  radio mix  club mix,outkast
TiK ToK,Kesha,Animal,2000s Smash Hits,tik tok,kesha
Look At Me Now,Chris Brown,Look At Me Now,2000s Smash Hits,look at me now,chris brown
SexyBack,Justin Timberlake,FutureSex/LoveSounds,2000s Smash Hits,sexyback,justin timberlake
With You,Chris Brown,Exclusive,2000s Smash Hits,with you,chris brown
Breakeven,The Script,The Script,2000s Smash Hits,breakeven,the script
I Know You Want Me (Calle Ocho),Pitbull,Pitbull Starring In Rebelution,2000s Smash Hits,i know you want me calle ocho,pitbull
Bye Bye Bye,*NSYNC,No Strings Attached,2000s Smash Hits,bye bye bye,nsync
Complicated,Avril Lavigne,Let Go,2000s Smash Hits,complicated,avril lavigne
Let Me Love You,Mario,Let Me Love You,2000s Smash Hits,let me love you,mario
Beautiful,Christina Aguilera,Stripped,2000s Smash Hits,beautiful,christina aguilera
Raise Your Glass,P!nk,Greatest Hits...So Far!!!,2000s Smash Hits,raise your glass,pnk
Timber,Pitbull,Global Warming: Meltdown (Deluxe Version),2000s Smash Hits,timber,pitbull
What Makes You Beautiful,One Direction,Up All Night,2000s Smash Hits,what makes you beautiful,one direction
No One,Alicia Keys,As I Am,2000s Smash Hits,no one,alicia keys
Sk8er Boi,Avril Lavigne,Let Go,2000s Smash Hits,sk8er boi,avril lavigne
Womanizer,Britney Spears,Circus (Deluxe Version),2000s Smash Hits,womanizer,britney spears
Give Me Everything,Pitbull,Planet Pit (Deluxe Version),2000s Smash Hits,give me everything,pitbull
Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,2000s Smash Hits,single ladies put a ring on it,beyoncé
Bleeding Love,Leona Lewis,Spirit,2000s Smash Hits,bleeding love,leona lewis
Lose My Breath,Destiny's Child,Destiny Fulfilled,2000s Smash Hits,lose my breath,destinys child
Love Song,Sara Bareilles,Little Voice,2000s Smash Hits,love song,sara bareilles
Ms. Jackson,OutKast,Stankonia,2000s Smash Hits,ms jackson,outkast
Die Young,Kesha,Warrior (Deluxe Version),2000s Smash Hits,die young,kesha
Survivor,Destiny's Child,Survivor,2000s Smash Hits,survivor,destinys child
Oops!...I Did It Again,Britney Spears,Oops!... I Did It Again,2000s Smash Hits,oopsi did it again,britney spears
Cry Me a River,Justin Timberlake,Justified,2000s Smash Hits,cry me a river,justin timberlake
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],2000s Smash Hits,get lucky feat pharrell williams  nile rodgers  radio edit,daft punk
Whatever You Like,T.I.,Paper Trail,2000s Smash Hits,whatever you like,ti
"One, Two Step",Ciara,Goodies,2000s Smash Hits,one two step,ciara
Unwritten,Natasha Bedingfield,Unwritten,2000s Smash Hits,unwritten,natasha bedingfield
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),2000s Smash Hits,wrecking ball,miley cyrus
So What,P!nk,Funhouse,2000s Smash Hits,so what,pnk
"Whenever, Wherever",Shakira,Laundry Service,2000s Smash Hits,whenever wherever,shakira
Baby Boy,Beyoncé,Dangerously In Love,2000s Smash Hits,baby boy,beyoncé
It's Gonna Be Me,*NSYNC,No Strings Attached,2000s Smash Hits,its gonna be me,nsync
My Boo,Usher,Confessions (Special Edition),2000s Smash Hits,my boo,usher
Sex on Fire,Kings of Leon,Only By The Night,2000s Smash Hits,sex on fire,kings of leon
Stronger (What Doesn't Kill You),Kelly Clarkson,Greatest Hits - Chapter One,2000s Smash Hits,stronger what doesnt kill you,kelly clarkson
Over My Head (Cable Car),The Fray,Over My Head (Cable Car),2000s Smash Hits,over my head cable car,the fray
For the First Time,The Script,Science & Faith,2000s Smash Hits,for the first time,the script
Girlfriend,Avril Lavigne,The Best Damn Thing,2000s Smash Hits,girlfriend,avril lavigne
Fallin',Alicia Keys,Songs In A Minor,2000s Smash Hits,fallin,alicia keys
Use Somebody,Kings of Leon,Only By The Night,2000s Smash Hits,use somebody,kings of leon
How to Save a Life,The Fray,How To Save A Life,2000s Smash Hits,how to save a life,the fray
Not Over You,Gavin DeGraw,Sweeter,2000s Smash Hits,not over you,gavin degraw
Before He Cheats,Carrie Underwood,Some Hearts,2000s Smash Hits,before he cheats,carrie underwood
Dirrty (feat. Redman),Christina Aguilera,Stripped,2000s Smash Hits,dirrty feat redman,christina aguilera
Caught Up,Usher,Caught Up,2000s Smash Hits,caught up,usher
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,2000s Smash Hits,if i aint got you,alicia keys
Wherever You Will Go,The Calling,The Best Of...,2000s Smash Hits,wherever you will go,the calling
You Found Me,The Fray,The Fray,2000s Smash Hits,you found me,the fray
"Independent Women, Pt. 1",Destiny's Child,Survivor,2000s Smash Hits,independent women pt 1,destinys child
Because of You,Kelly Clarkson,Breakaway,2000s Smash Hits,because of you,kelly clarkson
Get The Party Started,P!nk,M!ssundaztood,2000s Smash Hits,get the party started,pnk
The Anthem,Good Charlotte,The Young and The Hopeless,2000s Smash Hits,the anthem,good charlotte
I Don't Want to Be,Gavin DeGraw,Chariot - Stripped,2000s Smash Hits,i dont want to be,gavin degraw
The Way You Move (feat. Sleepy Brown) - Club Mix,OutKast,Speakerboxxx/The Love Below,2000s Smash Hits,the way you move feat sleepy brown  club mix,outkast
Better in Time,Leona Lewis,Spirit,2000s Smash Hits,better in time,leona lewis
Over You,Daughtry,Daughtry,2000s Smash Hits,over you,daughtry
The Great Escape,Boys Like Girls,Boys Like Girls,2000s Smash Hits,the great escape,boys like girls
Your Body Is a Wonderland,John Mayer,Room For Squares,2000s Smash Hits,your body is a wonderland,john mayer
Superman (It's Not Easy),Five For Fighting,Bandits (Motion Picture Soundtrack),2000s Smash Hits,superman its not easy,five for fighting
Vivir Mi Vida,Marc Anthony,Vivir Mi Vida,50 Latin Classics,vivir mi vida,marc anthony
La Vida Es Un Carnaval,Celia Cruz,Mi Vida Es Cantar,50 Latin Classics,la vida es un carnaval,celia cruz
Lambada - Original Version 1989,Kaoma,Lambada (Les originaux - Les N° 1 de l'été),50 Latin Classics,lambada  original version 1989,kaoma
La Camisa Negra,Juanes,Mi Sangre,50 Latin Classics,la camisa negra,juanes
La Gota Fría,Carlos Vives,Clásicos de la Provincia,50 Latin Classics,la gota fría,carlos vives
Suavemente,Elvis Crespo,Suavemente,50 Latin Classics,suavemente,elvis crespo
Bailando - Spanish Version,Enrique Iglesias,SEX AND LOVE (Deluxe),50 Latin Classics,bailando  spanish version,enrique iglesias
Danza Kuduro,Don Omar,Meet The Orphans,50 Latin Classics,danza kuduro,don omar
Conga,Miami Sound Machine,The Very Best Of Gloria Estefan (English Version),50 Latin Classics,conga,miami sound machine
La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,Juan Luis Guerra 4.40,Asondeguerra Tour (En Vivo Estadio Olímpico De República Dominicana/2012),50 Latin Classics,la bilirrubina  en vivo estadio olímpico de república dominicana2012,juan luis guerra 440
Guantanamera,Celia Cruz,Celia,50 Latin Classics,guantanamera,celia cruz
El Matador,Los Fabulosos Cadillacs,Los Fabulosos Cadillacs - El Matador,50 Latin Classics,el matador,los fabulosos cadillacs
Amor Prohibido,Selena,La Leyenda (Version Super Deluxe),50 Latin Classics,amor prohibido,selena
Hips Don't Lie,Shakira,Oral Fixation Vol. 2,50 Latin Classics,hips dont lie,shakira
Mi Gente,J Balvin,Mi Gente,50 Latin Classics,mi gente,j balvin
Obsesion,Aventura,We Broke The Rules,50 Latin Classics,obsesion,aventura
Let's Get Loud,Jennifer Lopez,On The 6,50 Latin Classics,lets get loud,jennifer lopez
Oye Como Va,Tito Puente,Anthology,50 Latin Classics,oye como va,tito puente
Despacito (Featuring Daddy Yankee),Luis Fonsi,Despacito (Featuring Daddy Yankee),50 Latin Classics,despacito featuring daddy yankee,luis fonsi
Bamboleo,Gipsy Kings,!Volare! The Very Best of the Gipsy Kings,50 Latin Classics,bamboleo,gipsy kings
Pedro Navaja,Rubén Blades,Anthology,50 Latin Classics,pedro navaja,rubén blades
Gasolina,Daddy Yankee,Barrio Fino (Bonus Track Version),50 Latin Classics,gasolina,daddy yankee
Mambo No 5,Pérez Prado,Mambo No 5,50 Latin Classics,mambo no 5,pérez prado
De Música Ligera,Soda Stereo,Originales - 20 Exitos,50 Latin Classics,de música ligera,soda stereo
Macarena,Los Del Rio,Fiesta Macarena,50 Latin Classics,macarena,los del rio
La Bamba,Los Lobos,Just Another Band From East L.A.: A Collection,50 Latin Classics,la bamba,los lobos
Querida,Juan Gabriel,SIMPLEMENTE AMIGOS,50 Latin Classics,querida,juan gabriel
Maria Maria - Radio Mix,Santana,Ultimate Santana,50 Latin Classics,maria maria  radio mix,santana
La ingrata,Café Tacvba,Re,50 Latin Classics,la ingrata,café tacvba
Corazón partio,Alejandro Sanz,Más,50 Latin Classics,corazón partio,alejandro sanz
I Know You Want Me (Calle Ocho),Pitbull,Latin Explosion,50 Latin Classics,i know you want me calle ocho,pitbull
Livin' la Vida Loca,Ricky Martin,Ricky Martin,50 Latin Classics,livin la vida loca,ricky martin
Rebelión,Joe Arroyo,32 Cañonazos,50 Latin Classics,rebelión,joe arroyo
La Maza,Silvio Rodríguez,Cuba Classics 1: Silvio Rodriguez,50 Latin Classics,la maza,silvio rodríguez
Amor Eterno,Rocío Dúrcal,Mis Favoritas,50 Latin Classics,amor eterno,rocío dúrcal
Besame Mucho,Consuelo Velázquez,"Boleros para Enamorarse, Vol. 2",50 Latin Classics,besame mucho,consuelo velázquez
Mais Que Nada,Sergio Mendes & Brasil '66,Foursider,50 Latin Classics,mais que nada,sergio mendes  brasil 66
El Cantante,Héctor Lavoe,El Cantante de los Cantantes,50 Latin Classics,el cantante,héctor lavoe
Chan Chan,Buena Vista Social Club,Buena Vista Social Club,50 Latin Classics,chan chan,buena vista social club
Amigo,Roberto Carlos,Inolvidables,50 Latin Classics,amigo,roberto carlos
The Girl From Ipanema - Stereo Version,Stan Getz,Stan Getz's Finest Hour,50 Latin Classics,the girl from ipanema  stereo version,stan getz
Oye Mi Amor,Maná,¿Dónde Jugarán Los Niños?,50 Latin Classics,oye mi amor,maná
Latinoamérica,Calle 13,Entren Los Que Quieran,50 Latin Classics,latinoamérica,calle 13
"Soy un Truhán, Soy un Señor",Julio Iglesias,Personalidad,50 Latin Classics,soy un truhán soy un señor,julio iglesias
Mediterraneo,Joan Manuel Serrat,Mediterráneo,50 Latin Classics,mediterraneo,joan manuel serrat
Gracias a la Vida,Violeta Parra,Mi Chile Lindo,50 Latin Classics,gracias a la vida,violeta parra
La Cumparsita,Gerardo Matos Rodriguez,"Tango, Tango",50 Latin Classics,la cumparsita,gerardo matos rodriguez
Paloma negra,Lola Beltrán,Serie Diamante (USA),50 Latin Classics,paloma negra,lola beltrán
El Rey,José Alfredo Jimenez,Epoca De Oro,50 Latin Classics,el rey,josé alfredo jimenez
Feliz Navidad,José Feliciano,Christmas Hits,50 Latin Classics,feliz navidad,josé feliciano
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,60s Rock Anthems,all along the watchtower,jimi hendrix
My Generation - Stereo Version,The Who,My Generation,60s Rock Anthems,my generation  stereo version,the who
(I Can't Get No) Satisfaction,The Rolling Stones,Hot Rocks (1964-1971) [Remastered],60s Rock Anthems,i cant get no satisfaction,the rolling stones
"Hello, I Love You",The Doors,Waiting For The Sun,60s Rock Anthems,hello i love you,the doors
Whole Lotta Love,Led Zeppelin,Led Zeppelin II,60s Rock Anthems,whole lotta love,led zeppelin
Hey Jude - Remastered 2015,The Beatles,1 (Remastered),60s Rock Anthems,hey jude  remastered 2015,the beatles
White Room,Cream,Wheels Of Fire (Remastered),60s Rock Anthems,white room,cream
You Really Got Me - Mono Mix,The Kinks,Kinks,60s Rock Anthems,you really got me  mono mix,the kinks
Surfin' U.S.A. - Remastered,The Beach Boys,Surfin' USA (Remastered),60s Rock Anthems,surfin usa  remastered,the beach boys
"Oh, Pretty Woman",Roy Orbison,"Oh, Pretty Woman",60s Rock Anthems,oh pretty woman,roy orbison
Back In The U.S.S.R. - 2018 Mix,The Beatles,Back In The U.S.S.R.,60s Rock Anthems,back in the ussr  2018 mix,the beatles
For What It's Worth,Buffalo Springfield,Buffalo Springfield,60s Rock Anthems,for what its worth,buffalo springfield
Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys (40th Anniversary Edition),60s Rock Anthems,fortunate son,creedence clearwater revival
Born To Be Wild - Single Version,Steppenwolf,Steppenwolf,60s Rock Anthems,born to be wild  single version,steppenwolf
House Of The Rising Sun,The Animals,The Animals,60s Rock Anthems,house of the rising sun,the animals
Louie Louie,The Kingsmen,The Best of The Kingsmen,60s Rock Anthems,louie louie,the kingsmen
I Heard It Through The Grapevine - Single Version (Mono),Marvin Gaye,Anthology: The Best Of Marvin Gaye,60s Rock Anthems,i heard it through the grapevine  single version mono,marvin gaye
Crimson And Clover - Single Version,Tommy James & The Shondells,The Essentials: Tommy James & The Shondells,60s Rock Anthems,crimson and clover  single version,tommy james  the shondells
Evil Ways,Santana,Santana (Legacy Edition),60s Rock Anthems,evil ways,santana
Purple Haze,Jimi Hendrix,Are You Experienced,60s Rock Anthems,purple haze,jimi hendrix
California Dreamin' - Single Version,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,60s Rock Anthems,california dreamin  single version,the mamas  the papas
Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,60s Rock Anthems,like a rolling stone,bob dylan
Suite: Judy Blue Eyes - Remastered,"Crosby, Stills & Nash","Crosby, Stills & Nash [with Bonus Tracks]",60s Rock Anthems,suite judy blue eyes  remastered,crosby stills  nash
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,Turn! Turn! Turn!,60s Rock Anthems,turn turn turn to everything there is a season,the byrds
I Saw Her Standing There - Remastered 2009,The Beatles,Please Please Me (Remastered),60s Rock Anthems,i saw her standing there  remastered 2009,the beatles
Light My Fire,The Doors,The Doors,60s Rock Anthems,light my fire,the doors
Pinball Wizard,The Who,Tommy (Remastered 2013 Super Deluxe Edition),60s Rock Anthems,pinball wizard,the who
The Sounds of Silence,Simon & Garfunkel,Greatest Hits,60s Rock Anthems,the sounds of silence,simon  garfunkel
Green Onions,Booker T. & the M.G.'s,Green Onions,60s Rock Anthems,green onions,booker t  the mgs
Sweet Caroline - Single Version,Neil Diamond,In My Lifetime,60s Rock Anthems,sweet caroline  single version,neil diamond
Good Lovin' - Single Version,The Young Rascals,The Young Rascals,60s Rock Anthems,good lovin  single version,the young rascals
