level_0,Unnamed: 0,Song Name,Matched Name,Ratio Value,Song List Index,index,song_name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
28,10,help me rhonda,noche de ronda,71,1348,1348,Noche de Ronda,0.906,0.42,0.19,5.02e-06,9,0.17800000000000002,-15.056,1,0.045,131.547,3,0.293
29,11,king of the road,on the road,74,1831,1831,On the Road,0.02,0.465,0.7490000000000001,0.000379,10,0.105,-6.653,0,0.358,72.579,4,0.39
32,12,the birds and the bees,the hand that feeds,68,12914,12914,The Hand That Feeds,0.0187,0.595,0.985,0.000297,9,0.0666,-4.337,0,0.0885,128.006,4,0.462
34,13,hold me thrill me kiss me,then he kissed me,62,6903,6903,Then He Kissed Me,0.6809999999999999,0.44,0.682,3.33e-05,4,0.207,-7.416,1,0.0373,135.917,4,0.626
36,14,shotgun,shotgun,100,1161,1161,Shotgun,0.28600000000000003,0.672,0.735,0.0,5,0.242,-4.7330000000000005,1,0.0457,115.741,4,0.754
37,15,i got you babe,i want you back,69,1175,1175,I Want You Back,0.29,0.639,0.5479999999999999,9.68e-05,8,0.366,-13.534,1,0.0394,98.359,4,0.887
42,16,this diamond ring,this mountain,67,4779,4779,This Mountain,0.215,0.675,0.93,0.0,11,0.0638,-3.131,0,0.069,129.965,4,0.595
43,17,the in crowd,the high road,72,16698,16698,The High Road,0.0506,0.547,0.8420000000000001,0.8390000000000001,7,0.0697,-7.049,1,0.0276,153.391,4,0.949
44,18,mrs brown youve got a lovely daughter,where do you go to my lovely,58,2112,2112,Where Do You Go To (My Lovely),0.805,0.408,0.436,1.72e-06,0,0.305,-7.7120000000000015,1,0.0345,175.024,3,0.474
45,19,stop in the name of love,stop in the name of love,100,6867,6867,Stop! In The Name Of Love,0.799,0.603,0.633,0.0,0,0.115,-5.832000000000002,1,0.0287,115.884,4,0.504
49,20,unchained melody,unchained melody,100,2063,2063,Unchained Melody,0.517,0.3670000000000001,0.215,0.0,0,0.618,-16.652,1,0.0288,98.742,3,0.266
50,21,silhouettes,silhouettes,100,5847,5847,Silhouettes,0.853,0.428,0.403,0.0,7,0.324,-12.24,1,0.0387,78.053,4,0.6920000000000001
51,22,ill never find another you,ill be there for you,65,17270,17270,I'll Be There For You,0.0717,0.32,0.917,0.0,9,0.16899999999999998,-5.903,1,0.0771,190.757,4,0.715
54,23,cara mia,caravan,67,492,492,Caravan,0.294,0.6409999999999999,0.397,0.000717,7,0.0496,-12.285,1,0.0454,81.962,4,0.57
55,24,mr tambourine man,mr tambourine man,100,324,324,Mr. Tambourine Man,0.513,0.456,0.47,3.76e-05,2,0.444,-9.564,1,0.0294,120.336,4,0.639
57,25,cast your fate to the wind,set fire to the rain,65,1372,1372,Set Fire To The Rain,0.703,0.5660000000000001,0.227,0.0,1,0.11,-11.588,1,0.0502,117.979,4,0.507
59,26,yes im ready,es mi reina,70,3920,3920,Es mi reina,0.602,0.6459999999999999,0.519,0.0,0,0.238,-9.592,1,0.0724,135.915,4,0.7709999999999999
61,27,whats new pussycat,whats the use,65,11574,11574,What's the Use?,0.736,0.759,0.4920000000000001,0.00989,1,0.107,-10.338,0,0.12,104.974,4,0.561
63,28,eve of destruction,self destruction,82,4097,4097,Self Destruction,0.0945,0.967,0.578,0.0,8,0.0786,-6.474,1,0.0993,120.041,4,0.774
65,29,hang on sloopy,hang loose,67,3442,3442,Hang Loose,0.0729,0.926,0.609,4.53e-06,7,0.103,-9.21,1,0.0628,114.973,4,0.217
66,30,ticket to ride,side to side,69,4692,4692,Side To Side,0.0513,0.65,0.736,0.0,6,0.235,-5.84,0,0.229,159.174,4,0.612
67,31,red roses for a blue lady,regresa a mi lado,57,12148,12148,Regresa a Mi Lado,0.416,0.403,0.843,5.9e-05,7,0.282,-2.9760000000000004,1,0.0435,202.004,4,0.778
69,32,papas got a brand new bag,papas got a brand new bag,100,3816,3816,Papa's Got A Brand New Bag,0.493,0.746,0.7020000000000001,0.0398,4,0.0964,-8.099,1,0.0766,129.434,4,0.889
70,33,game of love,game to lose,83,3237,3237,Game To Lose,0.963,0.568,0.0626,0.000139,1,0.0575,-13.728,0,0.0435,131.60399999999998,4,0.452
71,34,the name game,the a team,70,1554,1554,The A Team,0.669,0.642,0.289,0.0,9,0.18,-9.918,1,0.0367,84.99600000000002,4,0.407
73,35,i know a place,i know a place,100,13147,13147,I Know A Place,0.13699999999999998,0.685,0.9,0.0,5,0.2,-4.626,0,0.151,111.991,4,0.779
74,36,back in my arms again,back again,65,1169,1169,Back Again,0.00205,0.634,0.865,1.25e-06,9,0.307,-4.363,0,0.0367,112.021,4,0.879
75,37,baby im yours,baby im yours,100,14692,14692,Baby I'm Yours,0.215,0.462,0.595,0.0,2,0.184,-9.363,1,0.0347,113.719,4,0.64
78,38,the jolly green giant,the only exception,62,18559,18559,The Only Exception,0.14400000000000002,0.452,0.563,0.0,4,0.14300000000000002,-6.607,1,0.0272,137.715,3,0.209
80,39,hush hush sweet charlotte,swing low sweet chariot,62,13363,13363,Swing Low Sweet Chariot,0.995,0.376,0.0155,0.943,7,0.0946,-24.706,1,0.0473,70.41199999999998,4,0.135
81,40,like a rolling stone,like a rolling stone,100,270,270,Like a Rolling Stone,0.7290000000000001,0.483,0.721,0.0,0,0.189,-6.836,1,0.032,95.261,4,0.562
83,41,im telling you now,more than you know,67,11375,11375,More Than You Know,0.0323,0.645,0.741,0.0,5,0.29,-4.989,0,0.0339,123.07,4,0.534
84,42,ferry cross the mersey,eyes of the muse,63,9450,9450,Eyes of the Muse,0.000499,0.297,0.96,0.00645,2,0.11,-3.234,1,0.156,115.206,4,0.193
85,43,just once in my life,for once in my life,82,2086,2086,For Once In My Life,0.195,0.524,0.519,0.0,6,0.523,-11.903,1,0.043,110.121,4,0.847
87,44,the seventh son,the sweet escape,65,8620,8620,The Sweet Escape,0.218,0.755,0.765,0.0,1,0.162,-3.475,1,0.0356,119.954,4,0.737
90,45,im henery the eighth i am,when the night is over,64,16212,16212,When the Night is Over,0.101,0.6859999999999999,0.417,0.166,6,0.123,-6.294,0,0.0261,95.989,3,0.563
93,46,a walk in the black forest,a day in the life  remastered,62,2104,2104,A Day In The Life - Remastered,0.29,0.364,0.457,0.000106,4,0.922,-14.162,0,0.0675,163.219,4,0.175
94,47,for your love,for your love,100,327,327,For Your Love,0.387,0.338,0.6679999999999999,1.59e-05,2,0.111,-8.641,1,0.0421,127.097,5,0.561
99,48,california girls,california gurls,94,17865,17865,California Gurls,0.0038,0.7879999999999999,0.753,0.0,0,0.18,-3.71,1,0.0536,125.005,4,0.403
102,49,go now,for now,77,1487,1487,For Now,0.926,0.397,0.249,0.0,5,0.115,-10.484000000000002,1,0.0394,79.61399999999998,4,0.329
103,50,goldfinger,gold digger,76,1884,1884,Gold Digger,0.0192,0.6459999999999999,0.696,0.0,1,0.0762,-5.572,0,0.342,92.88,4,0.625
106,51,down in the boondocks,blowin in the wind,67,329,329,Blowin' In the Wind,0.914,0.38,0.0993,2.32e-05,2,0.0605,-20.567,1,0.0509,174.87400000000005,4,0.44
108,52,baby the rain must fall,dry the rain remaster,64,2972,2972,Dry The Rain (Remaster),0.0283,0.593,0.693,0.084,4,0.172,-8.576,1,0.0305,150.489,4,0.7490000000000001
109,53,catch us if you can,because of you,61,189,189,Because of You,0.254,0.583,0.584,0.0,5,0.123,-5.362,0,0.0314,140.039,4,0.136
116,54,eight days a week,brighter days,60,7180,7180,brighter days,0.4,0.603,0.5329999999999999,0.0,0,0.124,-6.742000000000001,1,0.0832,128.037,4,0.282
117,55,just a little,just a little crush,81,8928,8928,Just A Little Crush,0.138,0.62,0.73,1.55e-05,1,0.111,-9.659,0,0.0702,120.035,4,0.4270000000000001
120,56,you turn me on,turn me on,83,6971,6971,Turn Me On,0.0405,0.677,0.682,0.0,9,0.0351,-6.879,1,0.0361,106.279,4,0.875
125,57,ill be doggone,ill be around,67,3558,3558,I'll Be Around,0.74,0.7879999999999999,0.469,0.00019,5,0.101,-13.639,1,0.0347,120.013,4,0.8809999999999999
126,58,save your heart for me,you were meant for me,70,932,932,You Were Meant For Me,0.7909999999999999,0.5820000000000001,0.33,1.48e-06,6,0.105,-7.928,1,0.0347,111.873,4,0.407
130,59,tired of waiting for you,waiting for you,77,3099,3099,Waiting for You,0.502,0.524,0.274,0.257,6,0.0924,-13.931,1,0.295,167.998,4,0.342
134,60,count me in,cant move on,70,1200,1200,Can't Move On,0.0526,0.769,0.721,2.54e-06,0,0.27,-6.4129999999999985,1,0.0946,102.999,4,0.667
135,61,all day and all of the night,all day and all of the night,100,2679,2679,All Day and All of the Night,0.247,0.563,0.915,8.46e-05,7,0.0613,-5.062,1,0.08,136.345,4,0.71
137,62,what the world needs now is love,what the world needs now is love,100,2121,2121,What the World Needs Now Is Love,0.915,0.574,0.364,9.98e-06,11,0.13699999999999998,-9.672,0,0.0365,112.094,3,0.398
138,63,its not unusual,its not unusual,100,8221,8221,It's Not Unusual,0.609,0.479,0.67,0.0,0,0.336,-10.476,1,0.045,92.1,4,0.926
139,64,shes about a mover,shes a lover,73,2747,2747,She's a Lover,0.004070000000000001,0.439,0.795,0.00114,2,0.29600000000000004,-9.424,1,0.0314,84.846,4,0.789
141,65,shake,shake,100,8256,8256,Shake,0.472,0.48,0.79,0.713,4,0.155,-7.775,1,0.0353,111.025,4,0.446
